start,end,total SNPs,total Bases,depth,unique SNPs,dhSNPs,reference Bases,Theta,Pi,Heterozygosity,%GC,Recombination,Divergence,Constraint,SNPs
55001,56000,0,1894,3.41,0,0,556,0,0,0,54.8096,0.009601574,0.003006012,0,0
56001,57000,5,6683,6.68,2,2,1000,8.007,10.354,7.481,42.4424,0.009601574,0.01801802,0,0
57001,58000,1,9063,9.06,1,0,1000,3.51,1.986,1.103,37.2372,0.009601574,0.007007007,0,0
58001,59000,7,10256,10.26,3,2,1000,9.929,9.556,6.582,38.038,0.009601574,0.01201201,0,0
59001,60000,4,8057,8.06,4,0,1000,12.915,8.506,4.965,41.3413,0.009601574,0.02402402,0,0
60001,61000,6,7051,7.05,2,1,1000,7.817,9.121,8.864,36.1361,0.009601574,0.01601602,0,0
61001,62000,7,6950,6.95,2,1,1000,8.603,8.062,10.431,36.5365,0.009601574,0.01201201,0,0
62001,63000,1,8834,8.83,1,0,1000,4.01,2.065,1.132,35.5355,0.009601574,0.01501502,0,0
63001,64000,1,9629,9.63,1,0,1000,3.369,1.879,1.039,43.5435,0.009601574,0.009009009,58,1
64001,65000,3,7999,8,1,1,1000,4.162,5.408,3.75,30.6306,0.00958418,0.007007007,0,1
65001,66000,0,8376,8.38,0,0,1000,0,0,0,28.3283,0.009582394,0.01501502,0,0
66001,67000,2,8431,8.43,2,0,1000,6.59,4.178,2.372,39.1391,0.009582394,0.01701702,0,0
67001,68000,5,10837,10.84,4,0,1000,14.028,7.561,4.152,37.037,0.009582394,0.01601602,0,0
68001,69000,1,5381,5.38,1,0,1000,5.017,3.252,1.858,45.9459,0.009582394,0.01601602,0,0
69001,70000,3,8009,8.01,2,0,1000,7.123,5.75,3.434,35.2352,0.00727724,0.01001001,0,1
70001,71000,9,8597,8.6,4,1,1000,13.17,11.51,9.887,43.043,0.006055826,0.01,0,0
71001,72000,7,8785,8.78,3,1,1000,11.081,7.832,7.399,37.7377,0.005901681,0.01701702,355,1
72001,73000,1,5276,5.28,1,0,1000,4.047,3.145,1.895,36.8368,0.002003455,0.01301301,173,0
73001,74000,1,6648,6.65,1,0,1000,3.607,2.571,1.504,43.8438,0.002003455,0.01001001,0,0
74001,75000,7,7850,7.85,2,1,1000,8.369,9.611,8.598,36.4364,0.002003455,0.007007007,0,0
75001,76000,14,8627,8.63,3,2,1000,11.415,11.472,16.771,37.5375,0.001605964,0.006012024,0,1
76001,77000,3,9020,9.02,2,1,1000,7.868,5.656,3.326,30.1301,0.000852457,0.01101101,0,0
77001,78000,24,8594,8.59,10,4,1000,38.541,32.439,28.218,39.1391,0.000852457,0.01201201,0,0
78001,79000,13,8852,8.85,4,3,1000,17.127,21.523,15.11,38.038,0.000852457,0.008008008,0,0
79001,80000,3,7002,7,3,0,1000,13.933,7.714,4.284,55.5556,0.000852457,0.01801802,0,0
80001,81000,1,6230,6.23,1,0,1000,5.581,2.931,1.605,37.7377,0.000852457,0.005005005,0,0
81001,82000,0,8380,8.38,0,0,1000,0,0,0,39.1391,0.000852457,0.01401401,0,0
82001,83000,6,10312,10.31,1,1,1000,2.944,4.22,5.576,32.7327,0.000852457,0.01201201,0,0
83001,84000,3,10147,10.15,1,1,1000,3.438,4.303,2.926,35.1351,0.000852457,0.01302605,0,0
84001,85000,3,11479,11.48,3,0,1000,9.122,4.765,2.614,35.5355,0.000852457,0.009009009,0,0
85001,86000,4,15122,15.12,2,1,1000,5.222,4.316,2.563,38.9389,0.000852457,0.008008008,0,0
86001,87000,16,7978,7.98,5,2,1000,17.92,19.289,19.742,36.8368,0.000864684,0.01701702,0,1
87001,88000,10,8806,8.81,3,2,1000,11.461,11.456,11.356,38.038,0.000877284,0.008008008,0,0
88001,89000,10,9398,9.4,7,1,1000,20.928,15.761,10.108,37.9379,0.000877284,0.01301301,0,0
89001,90000,6,12091,12.09,2,1,1000,5.685,6.777,5.169,34.1341,0.000877284,0.007007007,0,0
90001,91000,1,10109,10.11,1,0,1000,4.107,1.842,0.989,40.3403,0.000877284,0.006006006,0,0
91001,92000,6,6632,6.63,3,2,1000,14.504,13.992,8.671,54.3544,0.00086683,0.008316008,0,1
92001,93000,4,8374,8.37,2,2,1000,7.376,7.528,4.776,42.042,0.000725929,0.01301301,0,0
93001,94000,2,8789,8.79,2,0,1000,6.401,3.914,2.276,37.3373,0.000724047,0.01001001,0,1
94001,95000,0,9533,9.53,0,0,1000,0,0,0,37.9379,0.000699081,0.009009009,0,0
95001,96000,6,7635,7.63,4,1,1000,14.935,11.886,7.859,28.2282,0.000699081,0.009009009,0,0
96001,97000,5,9671,9.67,4,0,1000,13.73,8.694,4.912,30.7307,0.000687897,0.01001001,0,1
97001,98000,6,7826,7.83,3,1,1000,11.047,10.212,7.028,38.3383,0.000681569,0.01501502,0,0
98001,99000,7,9737,9.74,2,1,1000,6.667,7.544,6.675,31.6316,0.000676144,0.01401401,0,1
99001,100000,5,8495,8.49,5,0,1000,16.181,10.352,5.886,33.6336,0.000670348,0.01401401,0,0
100001,101000,0,8390,8.39,0,0,1000,0,0,0,28.9289,0.000670348,0.01201201,0,0
101001,102000,6,11142,11.14,2,1,1000,5.685,6.81,4.936,36.8368,0.000670348,0.02102102,0,0
102001,103000,8,8871,8.89,8,0,998,23.572,14.306,9.018,35.2352,0.000670348,0.02102102,0,0
103001,104000,14,7022,7.02,6,1,1000,26.459,18.92,19.936,36.7367,0.000670348,0.01701702,0,0
104001,105000,4,8651,8.65,4,0,1000,16.572,8.466,4.624,32.1321,0.000670348,0.01001001,0,0
105001,106000,13,6320,6.32,8,3,1000,30.99,27.026,20.569,43.043,0.000670348,0.01507538,0,0
106001,107000,2,4202,4.2,2,0,1000,9.259,7.702,4.76,49.049,0.000670348,0.0192926,0,0
107001,108000,2,1145,1.64,2,0,698,25.936,24.745,17.467,41.1411,0.000670348,0.0192926,0,0
108001,109000,3,3383,3.38,3,0,1000,16.317,14.057,8.868,37.5375,0.000670348,0.0192926,0,0
109001,110000,1,1532,1.83,1,0,836,6.53,6.53,6.53,39.6396,0.000670348,0.0192926,0,0
110001,111000,1,3225,4.34,1,0,743,5.075,4.652,3.101,38.9389,0.000670348,0.0192926,0,0
111001,112000,5,5525,5.52,4,1,1000,19.084,15.04,9.05,41.8418,0.000670348,0.02678571,0,0
112001,113000,0,10541,10.54,0,0,1000,0,0,0,34.034,0.000670348,0.009009009,0,0
113001,114000,1,7001,7,1,0,1000,3.498,2.449,1.428,47.047,0.000670348,0.01201201,0,0
114001,115000,2,10496,10.5,2,0,1000,6.313,3.451,1.905,39.7397,0.000670348,0.01202405,0,0
115001,116000,6,9079,9.08,4,1,1000,14.985,10.121,6.058,32.4324,0.000670348,0.01301301,0,0
116001,117000,18,8906,8.91,7,4,1000,24.57,27.057,20.598,29.8298,0.000670348,0.01301301,0,0
117001,118000,4,7373,7.37,2,1,1000,8.307,7.339,4.747,33.3333,0.000712009,0.01301301,0,1
118001,119000,1,8652,8.65,1,0,1000,3.402,2.055,1.156,42.3423,0.00075494,0.006006006,76,0
119001,120000,14,10095,10.09,4,2,1000,14.12,16.656,13.868,30.4304,0.003244259,0.01501502,0,1
120001,121000,9,10413,10.41,7,2,1000,22.863,14.977,8.643,30.9309,0.004984242,0.01201201,0,0
121001,122000,22,10356,10.36,9,5,1000,26.382,27.669,21.484,42.7427,0.004984242,0.02202202,297,0
122001,123000,11,13257,13.26,6,1,1000,15.3,12.075,8.109,42.6426,0.004984242,0.01001001,0,0
123001,124000,8,14316,14.32,4,1,1000,11.734,8.818,5.85,40.7407,0.003819647,0.01301301,0,1
124001,125000,16,8756,8.76,9,2,1000,30.2,22.011,18.274,38.5385,0.000926734,0.01976744,0,1
125001,126000,1,6828,6.83,1,0,1000,4.751,2.65,1.465,43.8438,0.000902977,0.01801802,0,0
126001,127000,23,9429,9.43,5,2,1000,16.512,15.595,24.194,35.8358,0.000902977,0.01401401,0,0
127001,128000,3,9192,9.19,3,0,1000,11.528,5.957,3.264,37.9379,0.000902977,0.009063444,0,0
128001,129000,11,8368,8.39,3,2,997,9.374,11.138,12.549,35.1351,0.000902977,0.02865169,0,0
129001,130000,61,7734,7.73,14,3,1000,51.636,42.375,79.434,39.2392,0.000902977,0.05336722,0,0
